"nid","parent_nid","name","serial","type","latitude","longitude","status"
"1","0","Aceh","11","1","4.695135","96.7493993","1"
"2","0","Sumatera Utara","12","1","2.1153547","99.5450974","1"
"3","0","Sumatera Barat","13","1","-0.7399397","100.8000051","1"
"4","0","Riau","14","1","0.2933469","101.7068294","1"
"5","0","Jambi","15","1","-1.4851831","102.4380581","1"
"6","0","Sumatera Selatan","16","1","-3.3194374","103.914399","1"
"7","0","Bengkulu","17","1","-3.5778471","102.3463875","1"
"8","0","Lampung","18","1","-4.5585849","105.4068079","1"
"9","0","Kepulauan Bangka Belitung","19","1","-2.7410513","106.4405872","1"
"10","0","Kepulauan Riau","21","1","3.9456514","108.1428669","1"
"11","0","DKI Jakarta","31","1","-6.211544","106.845172","1"
"12","0","Jawa Barat","32","1","-7.090911","107.668887","1"
"13","0","Jawa Tengah","33","1","-7.150975","110.1402594","1"
"14","0","DI Yogyakarta","34","1","-7.8753849","110.4262088","1"
"15","0","Jawa Timur","35","1","-7.5360639","112.2384017","1"
"16","0","Banten","36","1","-6.4058172","106.0640179","1"
"17","0","Bali","51","1","-8.4095178","115.188916","1"
"18","0","Nusa Tenggara Barat","52","1","-8.6529334","117.3616476","1"
"19","0","Nusa Tenggara Timur","53","1","-8.6573819","121.0793705","1"
"20","0","Kalimantan Barat","61","1","-0.2787808","111.4752851","1"
"21","0","Kalimantan Tengah","62","1","-1.6814878","113.3823545","1"
"22","0","Kalimantan Selatan","63","1","-3.0926415","115.2837585","1"
"23","0","Kalimantan Timur","64","1","1.6406296","116.419389","1"
"24","0","Sulawesi Utara","71","1","0.6246932","123.9750018","1"
"25","0","Sulawesi Tengah","72","1","-1.4300254","121.4456179","1"
"26","0","Sulawesi Selatan","73","1","-3.6687994","119.9740534","1"
"27","0","Sulawesi Tenggara","74","1","-4.14491","122.174605","1"
"28","0","Gorontalo","75","1","0.6999372","122.4467238","1"
"29","0","Sulawesi Barat","76","1","-2.8441371","119.2320784","1"
"30","0","Maluku","81","1","-3.2384616","130.1452734","1"
"31","0","Maluku Utara","82","1","1.5709993","127.8087693","1"
"32","0","Papua Barat","91","1","-1.3361154","133.1747162","1"
"33","0","Papua","94","1","-4.269928","138.0803529","1"
