alcohol;malic-acid;ash;alcalinity-of-ash;magnesium;total-phenol;flavonoids;nonflavonoid-phenols;proanthocynains;color-intensity;hue;diluted-wines;proline;class
1423;1.71;243;156;127;2.8;3.06;.28;2.29;564;1.04;392;1065;1
132;1.78;214;112;100;2.65;2.76;.26;1.28;438;1.05;34;1050;1
1316;2.36;267;186;101;2.8;3.24;.3;2.81;568;1.03;317;1185;1
1437;1.95;25;168;113;3.85;3.49;.24;2.18;78;.86;345;1480;1
1324;2.59;287;21;118;2.8;2.69;.39;1.82;432;1.04;293;735;1
142;1.76;245;152;112;3.27;3.39;.34;1.97;675;1.05;285;1450;1
1439;1.87;245;146;96;2.5;2.52;.3;1.98;525;1.02;358;1290;1
1406;2.15;261;176;121;2.6;2.51;.31;1.25;505;1.06;358;1295;1
1483;1.64;217;14;97;2.8;2.98;.29;1.98;52;1.08;285;1045;1
1386;1.35;227;16;98;2.98;3.15;.22;1.85;722;1.01;355;1045;1
141;2.16;23;18;105;2.95;3.32;.22;2.38;575;1.25;317;1510;1
1412;1.48;232;168;95;2.2;2.43;.26;1.57;5;1.17;282;1280;1
1375;1.73;241;16;89;2.6;2.76;.29;1.81;56;1.15;29;1320;1
1475;1.73;239;114;91;3.1;3.69;.43;2.81;54;1.25;273;1150;1
1438;1.87;238;12;102;3.3;3.64;.29;2.96;75;1.2;3;1547;1
1363;1.81;27;172;112;2.85;2.91;.3;1.46;73;1.28;288;1310;1
143;1.92;272;20;120;2.8;3.14;.33;1.97;62;1.07;265;1280;1
1383;1.57;262;20;115;2.95;3.4;.4;1.72;66;1.13;257;1130;1
1419;1.59;248;165;108;3.3;3.93;.32;1.86;87;1.23;282;1680;1
1364;3.1;256;152;116;2.7;3.03;.17;1.66;51;.96;336;845;1
1406;1.63;228;16;126;3;3.17;.24;2.1;565;1.09;371;780;1
1293;3.8;265;186;102;2.41;2.41;.25;1.98;45;1.03;352;770;1
1371;1.86;236;166;101;2.61;2.88;.27;1.69;38;1.11;4;1035;1
1285;1.6;252;178;95;2.48;2.37;.26;1.46;393;1.09;363;1015;1
